Расходы бюджета города Москвы - всего;0;0;2 375 271 631 400,00;1 433 442 902 374,19;60,35
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;14Г0208200;600;100 391 000,00;77 132 983,94;76,83
Субсидии бюджетным учреждениям;14Г0208200;610;100 391 000,00;77 132 983,94;76,83
Субсидии бюджетным учреждениям на иные цели;14Г0208200;612;100 391 000,00;77 132 983,94;76,83
Проведение капитального ремонта государственными учреждениями;14Г0208300;0;1 395 325 000,00;314 374 568,11;22,53
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;14Г0208300;600;1 395 325 000,00;314 374 568,11;22,53
Субсидии бюджетным учреждениям;14Г0208300;610;1 395 325 000,00;314 374 568,11;22,53
Субсидии бюджетным учреждениям на иные цели;14Г0208300;612;1 395 325 000,00;314 374 568,11;22,53
Проведение текущего ремонта государственными учреждениями;14Г0208400;0;729 284 000,00;242 991 220,09;33,32
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;14Г0208400;600;729 284 000,00;242 991 220,09;33,32
Субсидии бюджетным учреждениям;14Г0208400;610;729 284 000,00;242 991 220,09;33,32
Субсидии бюджетным учреждениям на иные цели;14Г0208400;612;729 284 000,00;242 991 220,09;33,32
Реализация мероприятий по обеспечению безопасного функционирования городской инфраструктуры;14Г0209300;0;41 000 000,00;41 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;14Г0209300;600;41 000 000,00;41 000 000,00;100,00
Субсидии бюджетным учреждениям;14Г0209300;610;41 000 000,00;41 000 000,00;100,00
Субсидии бюджетным учреждениям на иные цели;14Г0209300;612;41 000 000,00;41 000 000,00;100,00
Поддержка сельскохозяйственных товаропроизводителей и организаций агропромышленного комплекса города Москвы;14Г0300000;0;123 968 400,00;52 590 028,45;42,42
Иные бюджетные ассигнования;14Г0300000;800;123 968 400,00;52 590 028,45;42,42
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;14Г0300000;810;123 968 400,00;52 590 028,45;42,42
Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг;14Г0300000;811;123 968 400,00;52 590 028,45;42,42
Обеспечение продовольственной безопасности города Москвы;14Г0400000;0;3 834 500,00;1 044 220,11;27,23
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;14Г0400000;200;3 834 500,00;1 044 220,11;27,23
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;14Г0400000;240;3 834 500,00;1 044 220,11;27,23
Прочая закупка товаров, работ и услуг;14Г0400000;244;3 834 500,00;1 044 220,11;27,23
Уплата налога на имущество организаций;14Г0500000;0;28 364 500,00;15 867,00;0,06
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;14Г0500000;600;28 364 500,00;15 867,00;0,06
Субсидии бюджетным учреждениям;14Г0500000;610;28 364 500,00;15 867,00;0,06
Субсидии бюджетным учреждениям на иные цели;14Г0500000;612;28 364 500,00;15 867,00;0,06
ГРАДОСТРОИТЕЛЬНАЯ ПОЛИТИКА;1500000000;0;25 929 675 500,00;15 052 429 764,80;58,05
Подготовка основных документов и решений по градостроительному развитию города Москвы;15А0000000;0;753 964 600,00;479 816 502,20;63,64
Подготовка решений по градостроительному развитию города Москвы и разработка документов территориального планирования;15А0100000;0;50 000 000,00;15 534 279,20;31,07
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15А0100000;200;50 000 000,00;15 534 279,20;31,07
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15А0100000;240;50 000 000,00;15 534 279,20;31,07
Прочая закупка товаров, работ и услуг;15А0100000;244;50 000 000,00;15 534 279,20;31,07
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных учреждений;15А0300000;0;703 964 600,00;464 282 223,00;65,95
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;15А0308100;0;701 600 000,00;461 917 623,00;65,84
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15А0308100;600;701 600 000,00;461 917 623,00;65,84
Субсидии бюджетным учреждениям;15А0308100;610;301 600 000,00;155 470 120,00;51,55
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);15А0308100;611;301 600 000,00;155 470 120,00;51,55
Субсидии автономным учреждениям;15А0308100;620;400 000 000,00;306 447 503,00;76,61
Субсидии автономным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);15А0308100;621;400 000 000,00;306 447 503,00;76,61
Уплата налога на имущество организаций;15А0308500;0;2 364 600,00;2 364 600,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15А0308500;600;2 364 600,00;2 364 600,00;100,00
Субсидии автономным учреждениям;15А0308500;620;2 364 600,00;2 364 600,00;100,00
Субсидии автономным учреждениям на иные цели;15А0308500;622;2 364 600,00;2 364 600,00;100,00
Координация реализации основных направлений градостроительной политики и строительства в городе Москве;15Б0000000;0;7 597 997 700,00;5 083 498 880,45;66,91
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных учреждений;15Б0100000;0;7 235 284 200,00;4 769 408 161,77;65,92
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;15Б0108100;0;6 085 100 900,00;3 627 647 768,77;59,62
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами;15Б0108100;100;2 223 631 500,00;1 558 517 759,21;70,09
Расходы на выплаты персоналу казенных учреждений;15Б0108100;110;2 223 631 500,00;1 558 517 759,21;70,09
Фонд оплаты труда учреждений;15Б0108100;111;1 746 809 200,00;1 245 095 928,76;71,28
Иные выплаты персоналу учреждений, за исключением фонда оплаты труда;15Б0108100;112;1 186 800,00;4 805,66;0,40
Взносы по обязательному социальному страхованию на выплаты по оплате труда работников и иные выплаты работникам учреждений;15Б0108100;119;475 635 500,00;313 417 024,79;65,89
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Б0108100;200;1 091 385 800,00;385 510 099,78;35,32
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Б0108100;240;1 091 385 800,00;385 510 099,78;35,32
Прочая закупка товаров, работ и услуг;15Б0108100;244;1 091 385 800,00;385 510 099,78;35,32
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15Б0108100;600;2 769 006 900,00;1 682 930 112,00;60,78
Субсидии бюджетным учреждениям;15Б0108100;610;589 641 500,00;442 094 820,00;74,98
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);15Б0108100;611;589 641 500,00;442 094 820,00;74,98
Субсидии автономным учреждениям;15Б0108100;620;2 179 365 400,00;1 240 835 292,00;56,94
Субсидии автономным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);15Б0108100;621;2 179 365 400,00;1 240 835 292,00;56,94
Иные бюджетные ассигнования;15Б0108100;800;1 076 700,00;689 797,78;64,07
Исполнение судебных актов;15Б0108100;830;27 000,00;26 907,00;99,66
Исполнение судебных актов Российской Федерации и мировых соглашений по возмещению причиненного вреда;15Б0108100;831;27 000,00;26 907,00;99,66
Уплата налогов, сборов и иных платежей;15Б0108100;850;1 049 700,00;662 890,78;63,15
Уплата прочих налогов, сборов;15Б0108100;852;731 700,00;514 422,00;70,31
Уплата иных платежей;15Б0108100;853;318 000,00;148 468,78;46,69
Приобретение государственными учреждениями оборудования и других основных средств;15Б0108200;0;115 000 000,00;115 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15Б0108200;600;115 000 000,00;115 000 000,00;100,00
Субсидии бюджетным учреждениям;15Б0108200;610;15 000 000,00;15 000 000,00;100,00
Субсидии бюджетным учреждениям на иные цели;15Б0108200;612;15 000 000,00;15 000 000,00;100,00
Субсидии автономным учреждениям;15Б0108200;620;100 000 000,00;100 000 000,00;100,00
Субсидии автономным учреждениям на иные цели;15Б0108200;622;100 000 000,00;100 000 000,00;100,00
Проведение капитального ремонта государственными учреждениями;15Б0108300;0;10 000 000,00;10 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15Б0108300;600;10 000 000,00;10 000 000,00;100,00
Субсидии бюджетным учреждениям;15Б0108300;610;10 000 000,00;10 000 000,00;100,00
Субсидии бюджетным учреждениям на иные цели;15Б0108300;612;10 000 000,00;10 000 000,00;100,00
Субсидия Государственному бюджетному учреждению города Москвы «Информационно-аналитический центр Комплекса градостроительной политики и строительства города Москвы «Мосстройинформ» на выполнение работ по изготовлению информационно-презентационного планировочного макета города Москвы;15Б0108500;0;75 000 000,00;75 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15Б0108500;600;75 000 000,00;75 000 000,00;100,00
Субсидии бюджетным учреждениям;15Б0108500;610;75 000 000,00;75 000 000,00;100,00
Субсидии бюджетным учреждениям на иные цели;15Б0108500;612;75 000 000,00;75 000 000,00;100,00
Экспертные услуги по объектам недвижимого имущества, оказываемые в установленном порядке;15Б0108600;0;694 811 000,00;694 811 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15Б0108600;600;694 811 000,00;694 811 000,00;100,00
Субсидии автономным учреждениям;15Б0108600;620;694 811 000,00;694 811 000,00;100,00
Субсидии автономным учреждениям на иные цели;15Б0108600;622;694 811 000,00;694 811 000,00;100,00
Экспертные услуги по достоверности определения размера индивидуальной платы за подключение (присоединение) к инженерным сетям объектов капитального строительства;15Б0108800;0;26 620 000,00;26 620 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15Б0108800;600;26 620 000,00;26 620 000,00;100,00
Субсидии автономным учреждениям;15Б0108800;620;26 620 000,00;26 620 000,00;100,00
Субсидии автономным учреждениям на иные цели;15Б0108800;622;26 620 000,00;26 620 000,00;100,00
Реализация мероприятий, связанных с поэтапным внедрением технологий информационного моделирования в городскую строительную отрасль;15Б0108900;0;176 000 000,00;176 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15Б0108900;600;176 000 000,00;176 000 000,00;100,00
Субсидии автономным учреждениям;15Б0108900;620;176 000 000,00;176 000 000,00;100,00
Субсидии автономным учреждениям на иные цели;15Б0108900;622;176 000 000,00;176 000 000,00;100,00
Выполнение натурных работ при проведении строительно-технических экспертиз на отдельных объектах капитального строительства;15Б0109100;0;37 046 000,00;28 910 000,00;78,04
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15Б0109100;600;37 046 000,00;28 910 000,00;78,04
Субсидии бюджетным учреждениям;15Б0109100;610;37 046 000,00;28 910 000,00;78,04
Субсидии бюджетным учреждениям на иные цели;15Б0109100;612;37 046 000,00;28 910 000,00;78,04
Уплата налога на имущество организаций;15Б0109300;0;15 706 300,00;15 419 393,00;98,17
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15Б0109300;600;15 349 800,00;15 349 800,00;100,00
Субсидии бюджетным учреждениям;15Б0109300;610;3 807 700,00;3 807 700,00;100,00
Субсидии бюджетным учреждениям на иные цели;15Б0109300;612;3 807 700,00;3 807 700,00;100,00
Субсидии автономным учреждениям;15Б0109300;620;11 542 100,00;11 542 100,00;100,00
Субсидии автономным учреждениям на иные цели;15Б0109300;622;11 542 100,00;11 542 100,00;100,00
Иные бюджетные ассигнования;15Б0109300;800;356 500,00;69 593,00;19,52
Уплата налогов, сборов и иных платежей;15Б0109300;850;356 500,00;69 593,00;19,52
Уплата налога на имущество организаций и земельного налога;15Б0109300;851;356 500,00;69 593,00;19,52
Анализ мероприятий государственных программ города Москвы в части капитального строительства объектов за счет бюджетных и внебюджетных средств и осуществление взаимосвязи указанных мероприятий. Формирование адресных перечней объектов капитального строительства с учетом необходимой инженерной и иной инфраструктуры;15Б0200000;0;72 000 000,00;37 176 578,61;51,63
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Б0200000;200;72 000 000,00;37 176 578,61;51,63
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Б0200000;240;72 000 000,00;37 176 578,61;51,63
Прочая закупка товаров, работ и услуг;15Б0200000;244;72 000 000,00;37 176 578,61;51,63
Координация реализации основных направлений градостроительной политики для обеспечения развития застроенных жилых территорий города Москвы;15Б0300000;0;55 155 000,00;41 355 708,00;74,98
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;15Б0308100;0;55 155 000,00;41 355 708,00;74,98
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15Б0308100;600;55 155 000,00;41 355 708,00;74,98
Субсидии бюджетным учреждениям;15Б0308100;610;55 155 000,00;41 355 708,00;74,98
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);15Б0308100;611;55 155 000,00;41 355 708,00;74,98
Грант казенному предприятию города Москвы «Управление по реконструкции и развитию уникальных объектов» на обеспечение текущей деятельности, включая исполнение ранее принятых обязательств;15Б0400000;0;195 000 000,00;195 000 000,00;100,00
Иные бюджетные ассигнования;15Б0400000;800;195 000 000,00;195 000 000,00;100,00
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;15Б0400000;810;195 000 000,00;195 000 000,00;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;15Б0400000;812;195 000 000,00;195 000 000,00;100,00
Грант Государственному унитарному предприятию города Москвы «Ремонтно-строительное предприятие № 1 «Москворечье» на исполнение принятых обязательств;15Б0500000;0;40 558 500,00;40 558 432,07;100,00
Иные бюджетные ассигнования;15Б0500000;800;40 558 500,00;40 558 432,07;100,00
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;15Б0500000;810;40 558 500,00;40 558 432,07;100,00
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат в связи с производством (реализацией товаров), выполнением работ, оказанием услуг, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;15Б0500000;812;40 558 500,00;40 558 432,07;100,00
Градостроительное проектирование и развитие единого геоинформационного пространства;15В0000000;0;5 544 460 900,00;4 283 743 284,47;77,26
Градостроительное проектирование и развитие единого геоинформационного пространства в городе Москве;15В0100000;0;303 114 600,00;79 253 125,47;26,15
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15В0100000;200;303 114 600,00;79 253 125,47;26,15
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15В0100000;240;303 114 600,00;79 253 125,47;26,15
Прочая закупка товаров, работ и услуг;15В0100000;244;285 188 100,00;61 326 625,47;21,50
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд в области геодезии и картографии вне рамок государственного оборонного заказа;15В0100000;245;17 926 500,00;17 926 500,00;100,00
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных учреждений;15В0400000;0;4 361 346 300,00;3 324 490 159,00;76,23
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;15В0408100;0;3 916 755 000,00;2 879 898 859,00;73,53
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15В0408100;600;3 916 755 000,00;2 879 898 859,00;73,53
Субсидии бюджетным учреждениям;15В0408100;610;2 805 855 000,00;2 165 447 960,00;77,18
Субсидии бюджетным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);15В0408100;611;2 805 855 000,00;2 165 447 960,00;77,18
Субсидии автономным учреждениям;15В0408100;620;1 110 900 000,00;714 450 899,00;64,31
Субсидии автономным учреждениям на финансовое обеспечение государственного (муниципального) задания на оказание государственных (муниципальных) услуг (выполнение работ);15В0408100;621;1 110 900 000,00;714 450 899,00;64,31
Приобретение государственными учреждениями оборудования и других основных средств;15В0408200;0;120 000 000,00;120 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15В0408200;600;120 000 000,00;120 000 000,00;100,00
Субсидии автономным учреждениям;15В0408200;620;120 000 000,00;120 000 000,00;100,00
Субсидии автономным учреждениям на иные цели;15В0408200;622;120 000 000,00;120 000 000,00;100,00
Уплата налога на имущество организаций;15В0408800;0;19 591 300,00;19 591 300,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15В0408800;600;19 591 300,00;19 591 300,00;100,00
Субсидии бюджетным учреждениям;15В0408800;610;19 591 300,00;19 591 300,00;100,00
Субсидии бюджетным учреждениям на иные цели;15В0408800;612;19 591 300,00;19 591 300,00;100,00
Субсидия Государственному бюджетному учреждению «Московский городской трест геолого-геодезических и картографических работ» на проведение работ по аэрофотосъемке для создания трехмерной модели территории ТиНАО города Москвы;15В0408900;0;75 000 000,00;75 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15В0408900;600;75 000 000,00;75 000 000,00;100,00
Субсидии бюджетным учреждениям;15В0408900;610;75 000 000,00;75 000 000,00;100,00
Субсидии бюджетным учреждениям на иные цели;15В0408900;612;75 000 000,00;75 000 000,00;100,00
Разработка концепции организации пригородно-городского движения в Московском железнодорожном узле с развитием Московских центральных диаметров, территорий транспортно-пересадочных узлов;15В0409000;0;230 000 000,00;230 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15В0409000;600;230 000 000,00;230 000 000,00;100,00
Субсидии автономным учреждениям;15В0409000;620;230 000 000,00;230 000 000,00;100,00
Субсидии автономным учреждениям на иные цели;15В0409000;622;230 000 000,00;230 000 000,00;100,00
Разработка градостроительной документации и другие мероприятия в сфере градостроительной деятельности, связанные с реновацией жилищного фонда в городе Москве;15В0500000;0;880 000 000,00;880 000 000,00;100,00
Выполнение работ, обеспечивающих визуализацию основных планировочных и проектных решений с выделением отдельных планировочных элементов в целях разработки проектов планировки территорий первоочередных кварталов реновации;15В0508600;0;880 000 000,00;880 000 000,00;100,00
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;15В0508600;600;880 000 000,00;880 000 000,00;100,00
Субсидии бюджетным учреждениям;15В0508600;610;350 000 000,00;350 000 000,00;100,00
Субсидии бюджетным учреждениям на иные цели;15В0508600;612;350 000 000,00;350 000 000,00;100,00
Субсидии автономным учреждениям;15В0508600;620;530 000 000,00;530 000 000,00;100,00
Субсидии автономным учреждениям на иные цели;15В0508600;622;530 000 000,00;530 000 000,00;100,00
Развитие и реорганизация территорий;15Г0000000;0;8 477 250 900,00;3 087 803 776,03;36,42
Подготовка и организация реализации планов  по градостроительной реорганизации и развитию территорий;15Г0100000;0;76 658 100,00;17 214 016,93;22,46
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Г0100000;200;76 658 100,00;17 214 016,93;22,46
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Г0100000;240;76 658 100,00;17 214 016,93;22,46
Прочая закупка товаров, работ и услуг;15Г0100000;244;76 658 100,00;17 214 016,93;22,46
Строительство объектов ритуального назначения;15Г0200000;0;2 082 328 800,00;418 430 723,59;20,09
Капитальные вложения в объекты государственной (муниципальной) собственности;15Г0200000;400;2 082 328 800,00;418 430 723,59;20,09
Бюджетные инвестиции;15Г0200000;410;1 382 298 800,00;168 430 723,59;12,18
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;15Г0200000;414;1 382 298 800,00;168 430 723,59;12,18
Субсидии бюджетным и автономным учреждениям, государственным (муниципальным) унитарным предприятиям на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности или приобретение объектов недвижимого имущества в государственную (муниципальную) собственность;15Г0200000;460;700 030 000,00;250 000 000,00;35,71
Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности государственным (муниципальным) унитарным предприятиям;15Г0200000;466;700 030 000,00;250 000 000,00;35,71
Строительство объектов общегражданского назначения;15Г0300000;0;4 587 571 800,00;1 364 124 072,58;29,74
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Г0300000;200;94 849 800,00;;
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Г0300000;240;94 849 800,00;;
Закупка товаров, работ, услуг в целях капитального ремонта государственного (муниципального) имущества;15Г0300000;243;94 849 800,00;;
Капитальные вложения в объекты государственной (муниципальной) собственности;15Г0300000;400;4 492 722 000,00;1 364 124 072,58;30,36
Бюджетные инвестиции;15Г0300000;410;2 058 272 000,00;510 039 572,58;24,78
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;15Г0300000;414;2 058 272 000,00;510 039 572,58;24,78
Субсидии бюджетным и автономным учреждениям, государственным (муниципальным) унитарным предприятиям на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности или приобретение объектов недвижимого имущества в государственную (муниципальную) собственность;15Г0300000;460;2 434 450 000,00;854 084 500,00;35,08
Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности государственным (муниципальным) унитарным предприятиям;15Г0300000;466;2 434 450 000,00;854 084 500,00;35,08
Обеспечение территории малоэтажной застройки на присоединенной к Москве территории и садоводческих некоммерческих объединений жителей города Москвы инженерной и транспортной инфраструктурой;15Г0400000;0;646 051 300,00;281 405 754,53;43,56
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Г0400000;200;35 887 400,00;;
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Г0400000;240;35 887 400,00;;
Прочая закупка товаров, работ и услуг;15Г0400000;244;35 887 400,00;;
Капитальные вложения в объекты государственной (муниципальной) собственности;15Г0400000;400;609 101 300,00;280 599 335,53;46,07
Бюджетные инвестиции;15Г0400000;410;609 101 300,00;280 599 335,53;46,07
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;15Г0400000;414;609 101 300,00;280 599 335,53;46,07
Иные бюджетные ассигнования;15Г0400000;800;1 062 600,00;806 419,00;75,89
Уплата налогов, сборов и иных платежей;15Г0400000;850;1 062 600,00;806 419,00;75,89
Уплата налога на имущество организаций и земельного налога;15Г0400000;851;1 062 600,00;806 419,00;75,89
Обеспечение содержания объектов капитального строительства общегражданского назначения (в том числе сетей инженерно-технического обеспечения) с даты оформления акта приемки объекта капитального строительства до даты оформления имущественных прав на объект капитального строительства;15Г0500000;0;84 640 900,00;6 629 208,40;7,83
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Г0500000;200;84 640 900,00;6 629 208,40;7,83
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Г0500000;240;84 640 900,00;6 629 208,40;7,83
Прочая закупка товаров, работ и услуг;15Г0500000;244;84 640 900,00;6 629 208,40;7,83
Межбюджетный трансферт из бюджета города Москвы бюджету Московской области в целях проведения капитального ремонта и ремонта автомобильных дорог, примыкающих к территориям садоводческих, огороднических и дачных некоммерческих объединений граждан;15Г0700000;0;1 000 000 000,00;1 000 000 000,00;100,00
Межбюджетные трансферты;15Г0700000;500;1 000 000 000,00;1 000 000 000,00;100,00
Иные межбюджетные трансферты;15Г0700000;540;1 000 000 000,00;1 000 000 000,00;100,00
Разработка экономических механизмов реализации градостроительной политики для создания благоприятного инвестиционного климата;15Д0000000;0;36 395 300,00;19 530 000,00;53,66
Разработка нормативно-методических документов по планированию и контролю бюджетных инвестиций в объекты капитального строительства;15Д0100000;0;36 395 300,00;19 530 000,00;53,66
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Д0100000;200;36 395 300,00;19 530 000,00;53,66
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Д0100000;240;36 395 300,00;19 530 000,00;53,66
Прочая закупка товаров, работ и услуг;15Д0100000;244;36 395 300,00;19 530 000,00;53,66
Обеспечение инновационного развития строительной отрасли;15Е0000000;0;276 298 600,00;150 382 962,06;54,43
Обеспечение внедрения инновационной продукции и технологий в строительной отрасли в городе Москве;15Е0100000;0;9 272 000,00;4 465 000,00;48,16
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Е0100000;200;9 272 000,00;4 465 000,00;48,16
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Е0100000;240;9 272 000,00;4 465 000,00;48,16
Прочая закупка товаров, работ и услуг;15Е0100000;244;9 272 000,00;4 465 000,00;48,16
Нормативно-техническое и научно-методическое обеспечение развития строительной отрасли;15Е0300000;0;109 843 900,00;48 393 462,06;44,06
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Е0300000;200;109 843 900,00;48 393 462,06;44,06
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Е0300000;240;109 843 900,00;48 393 462,06;44,06
Прочая закупка товаров, работ и услуг;15Е0300000;244;109 843 900,00;48 393 462,06;44,06
Кадровое обеспечение строительной отрасли;15Е0400000;0;10 430 000,00;4 402 500,00;42,21
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Е0400000;200;10 430 000,00;4 402 500,00;42,21
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;15Е0400000;240;10 430 000,00;4 402 500,00;42,21
